ballot,center,barcode,state,station,votes
21,99001,312100010,Archived,21,"(0, 0, 1, 0, 0, 0, 0, 0)"
41,99001,314100010,Archived,41,"(0, 0, 1, 0, 0, 0, 0, 0)"
3,11070,030000040,Archived,1,"(0, 2, 0, 9, 0, 4, 1, 1, 0, 0, 0)"
3,11070,110700203,Archived,2,"(0, 2, 0, 9, 0, 4, 1, 1, 0, 0, 0)"
15,80001,201500001,Archived,15,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)"
44,80001,204400001,Archived,44,"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)"
18,80003,201800005,Archived,18,"(0, 0, 0, 2, 0)"
19,80003,201900005,Archived,19,"(0, 0, 0, 2, 0)"
3,80008,200300015,Archived,3,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
5,80008,200500015,Archived,5,"(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
