16030,الشهيد عاي العائب,الغربية,6,الزاوية,الثالثة عشر,13,69,الزاوية,المطردالشرقية,الزاوية,عام,"12°37'7.00""","32°46'41.70""",
34801,مركز إعادة تأهيل المعاقين - بنغازي(ايواء),الشرقية,15,بنغازي,بنغازي,10,0,Multi-SC,,,مركز تأهيل وايواء,20.11240556,32.11913889,
31040,مدرسة خالد بن الوليد,الشرقية,12,طبرق,الأولى,1,1,طبرق,البردى,طبرق,عام,25.075112,31.758668,
31045,مدرسة عقبه بن نافع,الشرقية,12,طبرق,الأولى,1,1,طبرق,شماس,طبرق,عام,25.05616389,31.710975,
31049,مدرسة الطليعه,الشرقية,12,طبرق,الأولى,1,1,طبرق,امساعد,طبرق,عام,25.051629,31.619454,
31048,مدرسة امساعد,الشرقية,12,طبرق,الأولى,1,1,طبرق,امساعد,طبرق,عام,25.047953,31.60604,
31044,مدرسة راس عزاز,الشرقية,12,طبرق,الأولى,1,1,طبرق,رأس عزاز,طبرق,عام,24.982604,31.933923,
31042,مدرسة أم ركبة,الشرقية,12,طبرق,الأولى,1,1,طبرق,أم ركبة,طبرق,عام,24.918883,31.926919,
31043,مدرسة ابن سينا,الشرقية,12,طبرق,الأولى,1,1,طبرق,الساحل,طبرق,عام,24.83887,31.955974,
31041,مدرسة قصر الجدي الثانوية,الشرقية,12,طبرق,الأولى,1,1,طبرق,قصر الجدي,طبرق,عام,24.789313,31.852405,
31039,مدرسة مرسي لك,الشرقية,12,طبرق,الأولى,1,1,طبرق,مرسي لك,طبرق,عام,24.75014,31.983617,
31038,مدرسة جنزور,الشرقية,12,طبرق,الأولى,1,1,طبرق,جنزور,طبرق,عام,24.656404,31.981827,
31047,مدرسة بئر الاشهب الثانوية,الشرقية,12,طبرق,الأولى,1,1,طبرق,بئر الأشهب,طبرق,عام,24.655175,31.886667,
31046,مدرسة بئر الاشهب,الشرقية,12,طبرق,الأولى,1,1,طبرق,بئر الأشهب,طبرق,عام,24.65439444,31.88615556,
31051,مدرسة الجغبوب,الشرقية,12,طبرق,الأولى,1,1,طبرق,الجغبوب,طبرق,عام,24.51583,29.740719,
