ballot,center,barcode,state,station,votes
31,22058,22058001031,Archived,1,"(0, 75, 0, 0, 0)"
31,22058,22058002031,Archived,2,"(0, 75, 0, 0, 0)"
77,80004,80004077077,Archived,77,"(1,)"
89,80004,80004089089,Archived,89,"(1,)"
91,80005,80005091091,Archived,91,"(0, 0, 1)"
99,80005,80005099099,Archived,99,"(0, 0, 1)"
91,80009,80009091091,Archived,91,"(0, 1, 0)"
99,80009,80009099099,Archived,99,"(0, 1, 0)"
64,80010,80010064064,Archived,64,"(1, 0, 0, 0, 0)"
97,80010,80010097097,Archived,97,"(1, 0, 0, 0, 0)"
79,80011,80011079079,Archived,79,"(0, 1)"
102,80011,80011102102,Archived,102,"(0, 1)"
42,80012,80012042042,Archived,42,"(0, 1, 0)"
99,80012,80012099099,Archived,99,"(0, 1, 0)"
77,80014,80014077077,Archived,77,"(1,)"
89,80014,80014089089,Archived,89,"(1,)"
77,80015,80015077077,Archived,77,"(1,)"
89,80015,80015089089,Archived,89,"(1,)"
34,80017,80017034034,Archived,34,"(1,)"
76,80017,80017076076,Archived,76,"(1, 0, 0)"
77,80017,80017077077,Archived,77,"(1,)"
99,80017,80017099099,Archived,99,"(1, 0, 0)"
42,80018,80018042042,Archived,42,"(0, 2, 0)"
84,80018,80018084084,Archived,84,"(0, 2, 0)"
3,80019,80019003003,Archived,3,"(1, 0, 0, 0, 0, 0, 0, 0, 0)"
101,80019,80019101101,Archived,101,"(1, 0, 0, 0, 0, 0, 0, 0, 0)"
91,80020,80020091091,Archived,91,"(0, 1, 0)"
93,80020,80020093093,Archived,93,"(0, 1, 0)"
