candidate 113 votes included quarantine,ballot number,stations,stations completed,stations percent completed,candidate 1 name,candidate 1 votes,candidate 1 votes included quarantine,candidate 2 name,candidate 2 votes,candidate 2 votes included quarantine,candidate 3 name,candidate 3 votes,candidate 3 votes included quarantine,candidate 4 name,candidate 4 votes,candidate 4 votes included quarantine,candidate 5 name,candidate 5 votes,candidate 5 votes included quarantine,candidate 6 name,candidate 6 votes,candidate 6 votes included quarantine,candidate 7 name,candidate 7 votes,candidate 7 votes included quarantine,candidate 8 name,candidate 8 votes,candidate 8 votes included quarantine,candidate 9 name,candidate 9 votes,candidate 9 votes included quarantine,candidate 10 name,candidate 10 votes,candidate 10 votes included quarantine,candidate 11 name,candidate 11 votes,candidate 11 votes included quarantine,candidate 12 name,candidate 12 votes,candidate 12 votes included quarantine,candidate 13 name,candidate 13 votes,candidate 13 votes included quarantine,candidate 14 name,candidate 14 votes,candidate 14 votes included quarantine,candidate 15 name,candidate 15 votes,candidate 15 votes included quarantine,candidate 16 name,candidate 16 votes,candidate 16 votes included quarantine,candidate 17 name,candidate 17 votes,candidate 17 votes included quarantine,candidate 18 name,candidate 18 votes,candidate 18 votes included quarantine,candidate 19 name,candidate 19 votes,candidate 19 votes included quarantine,candidate 20 name,candidate 20 votes,candidate 20 votes included quarantine,candidate 21 name,candidate 21 votes,candidate 21 votes included quarantine,candidate 22 name,candidate 22 votes,candidate 22 votes included quarantine,candidate 23 name,candidate 23 votes,candidate 23 votes included quarantine,candidate 24 name,candidate 24 votes,candidate 24 votes included quarantine,candidate 25 name,candidate 25 votes,candidate 25 votes included quarantine,candidate 26 name,candidate 26 votes,candidate 26 votes included quarantine,candidate 27 name,candidate 27 votes,candidate 27 votes included quarantine,candidate 28 name,candidate 28 votes,candidate 28 votes included quarantine,candidate 29 name,candidate 29 votes,candidate 29 votes included quarantine,candidate 30 name,candidate 30 votes,candidate 30 votes included quarantine,candidate 31 name,candidate 31 votes,candidate 31 votes included quarantine,candidate 32 name,candidate 32 votes,candidate 32 votes included quarantine,candidate 33 name,candidate 33 votes,candidate 33 votes included quarantine,candidate 34 name,candidate 34 votes,candidate 34 votes included quarantine,candidate 35 name,candidate 35 votes,candidate 35 votes included quarantine,candidate 36 name,candidate 36 votes,candidate 36 votes included quarantine,candidate 37 name,candidate 37 votes,candidate 37 votes included quarantine,candidate 38 name,candidate 38 votes,candidate 38 votes included quarantine,candidate 39 name,candidate 39 votes,candidate 39 votes included quarantine,candidate 40 name,candidate 40 votes,candidate 40 votes included quarantine,candidate 41 name,candidate 41 votes,candidate 41 votes included quarantine,candidate 42 name,candidate 42 votes,candidate 42 votes included quarantine,candidate 43 name,candidate 43 votes,candidate 43 votes included quarantine,candidate 44 name,candidate 44 votes,candidate 44 votes included quarantine,candidate 45 name,candidate 45 votes,candidate 45 votes included quarantine,candidate 46 name,candidate 46 votes,candidate 46 votes included quarantine,candidate 47 name,candidate 47 votes,candidate 47 votes included quarantine,candidate 48 name,candidate 48 votes,candidate 48 votes included quarantine,candidate 49 name,candidate 49 votes,candidate 49 votes included quarantine,candidate 50 name,candidate 50 votes,candidate 50 votes included quarantine,candidate 51 name,candidate 51 votes,candidate 51 votes included quarantine,candidate 52 name,candidate 52 votes,candidate 52 votes included quarantine,candidate 53 name,candidate 53 votes,candidate 53 votes included quarantine,candidate 54 name,candidate 54 votes,candidate 54 votes included quarantine,candidate 55 name,candidate 55 votes,candidate 55 votes included quarantine,candidate 56 name,candidate 56 votes,candidate 56 votes included quarantine,candidate 57 name,candidate 57 votes,candidate 57 votes included quarantine,candidate 58 name,candidate 58 votes,candidate 58 votes included quarantine,candidate 59 name,candidate 59 votes,candidate 59 votes included quarantine,candidate 60 name,candidate 60 votes,candidate 60 votes included quarantine,candidate 61 name,candidate 61 votes,candidate 61 votes included quarantine,candidate 62 name,candidate 62 votes,candidate 62 votes included quarantine,candidate 63 name,candidate 63 votes,candidate 63 votes included quarantine,candidate 64 name,candidate 64 votes,candidate 64 votes included quarantine,candidate 65 name,candidate 65 votes,candidate 65 votes included quarantine,candidate 66 name,candidate 66 votes,candidate 66 votes included quarantine,candidate 67 name,candidate 67 votes,candidate 67 votes included quarantine,candidate 68 name,candidate 68 votes,candidate 68 votes included quarantine,candidate 69 name,candidate 69 votes,candidate 69 votes included quarantine,candidate 70 name,candidate 70 votes,candidate 70 votes included quarantine,candidate 71 name,candidate 71 votes,candidate 71 votes included quarantine,candidate 72 name,candidate 72 votes,candidate 72 votes included quarantine,candidate 73 name,candidate 73 votes,candidate 73 votes included quarantine,candidate 74 name,candidate 74 votes,candidate 74 votes included quarantine,candidate 75 name,candidate 75 votes,candidate 75 votes included quarantine,candidate 76 name,candidate 76 votes,candidate 76 votes included quarantine,candidate 77 name,candidate 77 votes,candidate 77 votes included quarantine,candidate 78 name,candidate 78 votes,candidate 78 votes included quarantine,candidate 79 name,candidate 79 votes,candidate 79 votes included quarantine,candidate 80 name,candidate 80 votes,candidate 80 votes included quarantine,candidate 81 name,candidate 81 votes,candidate 81 votes included quarantine,candidate 82 name,candidate 82 votes,candidate 82 votes included quarantine,candidate 83 name,candidate 83 votes,candidate 83 votes included quarantine,candidate 84 name,candidate 84 votes,candidate 84 votes included quarantine,candidate 85 name,candidate 85 votes,candidate 85 votes included quarantine,candidate 86 name,candidate 86 votes,candidate 86 votes included quarantine,candidate 87 name,candidate 87 votes,candidate 87 votes included quarantine,candidate 88 name,candidate 88 votes,candidate 88 votes included quarantine,candidate 89 name,candidate 89 votes,candidate 89 votes included quarantine,candidate 90 name,candidate 90 votes,candidate 90 votes included quarantine,candidate 91 name,candidate 91 votes,candidate 91 votes included quarantine,candidate 92 name,candidate 92 votes,candidate 92 votes included quarantine,candidate 93 name,candidate 93 votes,candidate 93 votes included quarantine,candidate 94 name,candidate 94 votes,candidate 94 votes included quarantine,candidate 95 name,candidate 95 votes,candidate 95 votes included quarantine,candidate 96 name,candidate 96 votes,candidate 96 votes included quarantine,candidate 97 name,candidate 97 votes,candidate 97 votes included quarantine,candidate 98 name,candidate 98 votes,candidate 98 votes included quarantine,candidate 99 name,candidate 99 votes,candidate 99 votes included quarantine,candidate 100 name,candidate 100 votes,candidate 100 votes included quarantine,candidate 101 name,candidate 101 votes,candidate 101 votes included quarantine,candidate 102 name,candidate 102 votes,candidate 102 votes included quarantine,candidate 103 name,candidate 103 votes,candidate 103 votes included quarantine,candidate 104 name,candidate 104 votes,candidate 104 votes included quarantine,candidate 105 name,candidate 105 votes,candidate 105 votes included quarantine,candidate 106 name,candidate 106 votes,candidate 106 votes included quarantine,candidate 107 name,candidate 107 votes,candidate 107 votes included quarantine,candidate 108 name,candidate 108 votes,candidate 108 votes included quarantine,candidate 109 name,candidate 109 votes,candidate 109 votes included quarantine,candidate 110 name,candidate 110 votes,candidate 110 votes included quarantine,candidate 111 name,candidate 111 votes,candidate 111 votes included quarantine,candidate 112 name,candidate 112 votes,candidate 112 votes included quarantine,candidate 113 name,candidate 113 votes
,1,174,0,0.0,محي الدين محمد عبدالله الاخواني,0,0,علي عبدالقادر منفور علي,0,0,علي حسين حلمي علي,0,0,مؤمن الامين مسعود ضيف الله,0,0,عزت عباس صالح ادم,0,0,عبدالسلام فتح الله محمد عليوة,0,0,احمد جاد المولى ازقيم جادالله,0,0,مفتاح عطية محمد الشاعري,0,0,زيدان يوسف سالم شعيب,0,0,صافي محمد ابراهيم مفتاح,0,0,حسين الشارف عبدالله محمد,0,0,عبدالباسط ابراهيم عبدالغني محمد,0,0,فرج عبدالله القذافي طاهر,0,0,بشير مفتاح محمد مفتاح,0,0,عبدالهادي اسماعيل عبدالرحمن محمد,0,0,ادريس سعد عبدالعزيز احميدة,0,0,محمد فضل الله فرج عثمان,0,0,عبدالرازق حسن سعد زيدان,0,0,مفتاح عمر حمد محمد,0,0,مجيد ادريس محمد البساط,0,0,هيوب عبدالستار هيوب عمر,0,0,فيصل رزق عبدالسلام بوالرايقة,0,0,صالح هاشم صالح الطائع,0,0,احمد يوسف شعيب مصباح,0,0,محمود علي المبروك صالح,0,0,فرج يونس سليمان عبدالكريم,0,0,الصالحين عبدالنبي محمد سعد,0,0,عبدالفتاح بالعيد هودج حفالش,0,0,علي سليمان صالح لامين,0,0,نصر ابراهيم عبدالحفيظ بونعامة,0,0,طارق المبروك الشريف العوامي,0,0,حسين محمد عبيدة الحبوني,0,0,ارجاعي امرايف يونس سعيد,0,0,امساعد محمد عبدالرازق هارون,0,0,ابريك حماد علي ادهيم,0,0,مجدي يونس بكار حسين,0,0,فرج المهدي علي ادهيم,0,0,سالم ميكائيل حسين فايز,0,0,صالح عبدالله ميمون عبدالجليل,0,0,ماهر سالم مؤمن الشاعري,0,0,نورالدين خالد ادم عبدالحميد,0,0,رحيل جمعة رحيل حمد,0,0,ايمن عطية محمود الطائع,0,0,محمد صالح محمود المسماري,0,0,خليفة مفتاح عمر محمد,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,81,0,0.0,منصور ابراهيم سالم المشاي,0,0,توفيق عبدالسلام عبدالرواف المالح,0,0,عبدالله صالح السنوسي الكاسح,0,0,حماد سعد محمد اخويزيق,0,0,محمد جبريل علي ابراهيم,0,0,عبدالقادر صالح عبد ربه امنيسي,0,0,عماد ادم سالم ادم,0,0,فرج فيد الله المبروك الغيثي,0,0,عبدالحميد سعيد عبدالكريم اشنيف,0,0,المبري نوري سعيد خليل,0,0,عبدالباسط سعيد سالم وافي,0,0,محمد فضل صالح ابراهيم,0,0,رواش حمد عبد الرازق محمود,0,0,فتح الله محمد قرامي قرامي,0,0,ابريك عبدالجواد محمد حسين,0,0,عمران حمد عبدالغني الكلوش,0,0,عبد العزيز اشريح محمد علي,0,0,ناصر محمد عبدالله جبريل,0,0,عطية عبدالرحمن عبدالرازق عبد ربه,0,0,فتحي محمد ابومليحه محمد,0,0,هاني عبدالمالك محمد مسعود,0,0,سالم عثمان سالم ادم,0,0,عقيلة صالح عيسى اقويدر,0,0,حمد سعد محمد ياسين,0,0,خالد شعيب ارحيم العبيدي,0,0,السنوسي سعيد عبدالمجيد بالقاسم,0,0,ابوبكر مفتاح عبدالرازق المنصوري,0,0,عوض سليمان عوض الشوبكي,0,0,طلال عبدالله موسى الميهوب,0,0,نزار امراجع فرج سالم,0,0,عبدالمنعم عمر يونس حمد,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,87,0,0.0,علي صالح عبدالكريم الرفادي,0,0,هشام محمد السرواحي الامين,0,0,خيرالله يونس عبد ربه التركاوي,0,0,حمد محمود حمد المزيني,0,0,عبدالحكيم فيصل محمد الغيثي,0,0,سعد بشير مفتاح الرفادي,0,0,عمرو عبدالغني عبدالرحيم عزوز,0,0,ادريس عبدالقادر عبدالله عبدالخالق,0,0,فرج الصفتي محمد عبدالسلام,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,61,0,0.0,عبدالناصر حسين عبدالرازق المجدوب,0,0,نصرالدين مهنى غباشي مفتاح,0,0,نافع حمد محمد جمعة,0,0,فكري سليم احمد حسن الخرش,0,0,فوزي عبدالسلام محمد حسن,0,0,سليمان طاهر عبداللطيف محمد عرعاز,0,0,سعد فرج سعد علي الدويلي,0,0,مفتاح بوبكر ارحومة حسين,0,0,مفتاح سليمان عطاياالله خليل الحاسي,0,0,فتحي عيسى فرج عبدالكريم,0,0,عبدالسلام جبريل محمد عبدالجليل,0,0,المنتصر سعد عطية علي,0,0,عادل عبدالعزيز محمود سعيد بوعلجية,0,0,الفيتوري عمر الفيتوري عبدالرحمن,0,0,محمد عثمان عطش المبروك,0,0,خليل مفتاح عبدالله خليل,0,0,ابراهيم عبدالكريم ادم عبدو,0,0,الناجي سعد عبدالله المرتضي,0,0,صقر محمد موسى الفيتوري,0,0,حسن عبدالرحيم علي موسى,0,0,عبدالله حسين المرتضي بوبكر,0,0,منصف خليفة محمد امبهدل الميار,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,136,0,0.0,عبدالباسط علي عيسى سعد الخرم,0,0,يونس بونعامة محمد المرتجع,0,0,عبدالمولى مسعود يوسف جودة,0,0,المبروك خليفة علي خليفة بوعباه,0,0,باسم عثمان محمد انويقص,0,0,عيسى عبدالله يونس محمد الصغير,0,0,سليمان مصطفى ابراهيم المصري,0,0,عادل سعيد حمد سعيد بوعجاج,0,0,محمد عبدالكريم يحيى الساكر,0,0,حمد عبدالسميع القاسي بالقاسم الخزعلي,0,0,فيصل علي سعيد الغويل,0,0,محمد سعيد علي علي الجويفي,0,0,محسن محمد سليمان عمر العلواني,0,0,عاطف الناجي خالد حمد,0,0,عبدالسلام التواتي حسن السنوسي,0,0,عبدالرحمن علي محمد عبدالرحمن,0,0,بالقاسم علي محمد عيسى بوحويصة,0,0,موسى علي محمد مجحود القرم,0,0,عبدالمطلب ادريس ثابت حمد,0,0,ادريس احمد محمود فضيل الزائدي,0,0,احمد فضيل سعد محمد بالتبن,0,0,اشرف السعداوي بالحمد السعداوي,0,0,علاء الدين رافع عبدالواحد حسين بوصفيطة,0,0,مفتاح طاهر ابراهيم بوبكر,0,0,سالم صالح عبدالرازق محمد الكواش,0,0,محمد عبدالله الطيف عبدالله بوعرقوب,0,0,ازقيبة مفتاح ازقيبة بوقفة,0,0,عطية مفتاح حمد خنيفر,0,0,صلاح الماوي حمد حسين,0,0,موسى صالح ابراهيم الفرجاني,0,0,ادريس عمران عبدالهادي ادم,0,0,محمد عبدالمجيد المبروك عبدالمجيد,0,0,عبدالمالك محمد علي محمد بوعلي,0,0,عبدالله ادريس حمد محمد الخطابية,0,0,توفيق عبدالسلام عيسى عمر جلغاف,0,0,صالح محمد حسين بوعصرانة,0,0,عبدالناصر فتحي محمود يوسف,0,0,مصطفى عطية سعد عبدالحفيظ الزايدي,0,0,احمد مؤمن سليمان شعيب,0,0,مختار محمد يوسف المختار ليسير,0,0,عبدالحفيظ محمد عوض ابراهيم,0,0,عبدالمولى محمد عبدالدائم صالح بوزهرة,0,0,محمد عطايا محمد المبروك,0,0,ادم صالح ادم بوصخرة,0,0,مجدي فرج محمد عقيلة بونعيجة,0,0,يوسف عمر قويطين طاهر,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,115,0,0.0,حسين علي اسماعيل عبدالله,0,0,محمد عطية علي عبدالله,0,0,مصطفى امريمي مصطفى سعيد,0,0,مراجع سعد محمد محمود,0,0,بدر عبدالسلام طاهر محمد قندولة,0,0,سليمان خطاب اسويكر عوض,0,0,عمر حماد صالح مدينه,0,0,سالم مفتاح جبريل الغفير,0,0,وائل عبدالوهاب صالح الهذمال,0,0,محمد نوري ابوبكر المداعي,0,0,علي عبدالسلام علي سليمان,0,0,علي فتح الله محمد علي الشيخي,0,0,حسن احمد صالح عيسى,0,0,مصطفى عبدالله محمد عطية,0,0,عبدالرحمن محمد عبدالمولى الميهوب,0,0,بالعيد عبدالنبي حسن موسى,0,0,معين محمد المبروك اقويدر,0,0,مخلص ادريس نوح عبدالله المسماري,0,0,بالقاسم محمد بوبكر علي الجارد,0,0,عبدالله موسى سليمان عبدربه شحوط,0,0,علي غنيوة مفتاح عون الرمحي,0,0,عبدالكريم محمد منصور بوجدارية,0,0,احمد خليفة محمد ادم بوهلالة,0,0,فضيل عبدالحميد عبدالجواد سعد,0,0,نادر نوري سعيد مفتاح الحضيري,0,0,عبدالمنعم جمعة سالم حسن,0,0,صلاح عبدالله علي ابراهيم العسبلي,0,0,خالد ابراهيم سعد طيب,0,0,عمر عبدالله يونس عبدالكريم,0,0,سعيد صالح سعد رحيل,0,0,فضل الله  بوبكر  المبروك  ادم,0,0,فرج عبدالله ادريس هاشم,0,0,خميس ابراهيم محمود محمد الهنكور,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,72,0,0.0,اسماعيل رجب الصالحين حقار,0,0,صلاح محمد حمد صالح,0,0,خالد فرج حمد عبدالجواد بوعوينة,0,0,علي عبدالغني عبدالسلام اخفير,0,0,عبدالمطلوب حسين محمد عمران بوعلية,0,0,عبدالفتاح اخليفة ادم علي,0,0,عبدالحميد يونس عبدالكريم سالم,0,0,خليفة صالح سعيد محمد الدغاري,0,0,المبروك بدر حامد ارجيعة,0,0,مجدي سليمان حسين محمد,0,0,عبدالسلام صالح يحيى حمد,0,0,عبدالحفيظ محمد عبدالجواد مصطفى الدرسي,0,0,احميدة محمد حمد عطية الله,0,0,موسى محمد موسى حسين بوالشامخة,0,0,توفيق سعيد مفتاح مشاضي,0,0,جمعة عبدالله حسن علي,0,0,عمر سالم ادريس ابوبكر بوخويدم,0,0,صالح سعد يونس محمود,0,0,حمد مسعود ذاوود بالحمد,0,0,مبارك علي محمد عبدالقادر,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,448,0,0.0,فرحات المبروك محمد الدينالي,0,0,احمد جمعة احمد الاوجلي,0,0,طارق نوري محمد ماضي,0,0,عيسى حسين عيسى الفلاح,0,0,احمد شيهوب ابراهيم الواحدي,0,0,طارق السنوسي بوسيف العبيدي,0,0,عادل احمد محمد الفرجاني,0,0,ابراهيم فتحي ابراهيم عميش,0,0,سامي عاشور محمد الشريف,0,0,عمر عبدالعاطي محمد الشبلي,0,0,احمد علي خميس سعيد,0,0,عبدالقادر مرعي رجب القنين,0,0,عبدو جمعة عبدالقادر الصاوى بالروين,0,0,عمر احمد عمر العبار,0,0,محمود عمر احمد المسماري,0,0,ايمن حسن محمد احميدة,0,0,احمد هارون مقاوي العبيدي,0,0,فضل الله هارون موسى جبريل,0,0,جلال صالح عبدالسلام الشويهدي,0,0,احمد الفيتوري امحمد الزائدي,0,0,زياد صالح سالم دغيم,0,0,طارق صقر ادم الجروشي,0,0,احمد سالم علي السائح,0,0,جمعة علي محمد يونس,0,0,يونس عمر منصور فنوش,0,0,ابراهيم جمعة صالح العوامي,0,0,فرج محمد محمد الجليطي,0,0,عزالدين محمد حمد عطية الله,0,0,خليفة يوسف محمد زيو,0,0,صلاح مصطفى محمود بادي,0,0,عبدالناصر عبدالعالي عبدالسلام شماطة,0,0,موسى ذاوود سعيد عبدالرحمن,0,0,ياسين المرخى جادالله الشلوى,0,0,مفتاح مراجع محمد اكويدير,0,0,عبدالناصر محمد سليمان بومطاري,0,0,عبدالله حمد عمر الطابوني,0,0,فتح الله عقيلة بوبكر المنفي,0,0,مصطفى علي محمد الهشم,0,0,محمد عبدالله محمد بوسدرة,0,0,انويجي جمعة انويجي ابوبكر,0,0,احمد الكيلاني مصباح الفرجاني,0,0,ادريس محمد رمضان القاضى,0,0,وليد عبدالحميد محمد ماضي,0,0,فرج مفتاح سالم الورفلي,0,0,علي ابوعجيلة علي ابوبكر العرفي,0,0,طارق محمود حبيب المسماري,0,0,محمد بوبكر علي الشبلي,0,0,طاهر محمود محمد الفضلى,0,0,نجيب احمد منصور اطلوبه,0,0,سالم عبدالقادر محمد شقلوف,0,0,علي مخلوف عقيلة مفتاح,0,0,يونس عمر عطية بن عامر,0,0,بدر علي سليمان موسى,0,0,رافع عبدالله محمد الفضيل الديفار,0,0,عادل فرج ابراهيم الطيرة,0,0,ابراهيم احمد امحمد المهدوي,0,0,منعم محمد حسين القماطى,0,0,هشام عبدالله مفتاح الورفلي,0,0,عبدالخالق الفضيل سليمان كريم,0,0,رمزي الهادي علي الجدي,0,0,اشرف عبدالله حسين الساعدي,0,0,بريك عوض محمد درباش,0,0,راضى ابراهيم غيث قنديل,0,0,محمد سليمان بشير الورفلي,0,0,عبدالناصر عبدالحميد حسين نجم,0,0,محمد فرج محمد بشير,0,0,عصام عبدالله محمد الجهانى,0,0,عبدالله عبدالقادر حسن عبدربه العبيدى,0,0,محمد سليمان محمد الحداد,0,0,فوزي عبدالحميد احمد الهدار,0,0,خالد عبدالله خالد عبدالرحمن,0,0,فتح الله بالقاسم حمد العرفي,0,0,محمد عبدالله علي المغيربى,0,0,جبريل خير سعيد التارقي,0,0,فوزي ميلاد خليفة العماري,0,0,سليمان محمود سليمان البرعصي,0,0,علي ادريس حمد رابح,0,0,عبدالرحيم زنقي بوسيف الجنجان,0,0,نوري عطية محمد بن خيال,0,0,ناصر صالح طاهر معيوف,0,0,محمد مفتاح محمد الساحلي,0,0,زايد محمود بوبكر العوج,0,0,عبدالحميد احمد بوبكر الصديق السوسي,0,0,ابراهيم ابوبكر عبدالرحمن الدرسى,0,0,ابوبكر محمد ابوبكر علي,0,0,فتح الله محمد طاهر الدرسى,0,0,عبدالقادر سعيد عبدالقادر الذباح,0,0,سعد محمد صالح الجازوي,0,0,ونيس الشارف العبانى الورفلى,0,0,رمضان محمد محمد شمبش,0,0,علي رمضان خليل ابوزعكوك,0,0,سامي محمد سليمان يونس,0,0,خالد محمد عمر حمد,0,0,فرج حسين فرج العمامي,0,0,مصطفى محمد عبدالله الرقيق,0,0,فتحي خليفة حمد جلهوم,0,0,ابوبكر مصطفى علي بعيرة,0,0,مفتاح عوض عبدالرحمن الغناي,0,0,رشيد مصطفى محمد بسيكري,0,0,يوسف ابراهيم صالح الشريف,0,0,محمد حمد امحمد بن حسونة,0,0,موفق محمد سليمان الزوي,0,0,يحي عطية يونس الصبيحي,0,0,فرج عمران سالم فرج العمامي,0,0,خليل ادريس علي المبروك,0,0,الصديق سلامة عبدالرحيم الصديق,0,0,محمد سالم محمد بوشعالة,0,0,عيسى محمد السنوسي العريبي,0,0,محمد مسعود مفتاح مخلوف,0,0,علي محمد علي باقو,0,0,حسن ابراهيم صالح الشريف,0,0,يوسف عبدالسلام محمد بعيو,0,0,جمال عبدالقادر علي بودجاجة,0
,9,47,0,0.0,عبدالله مصطفى عبدالله بوكشارية,0,0,ابراهيم موسى صالح العبدلي,0,0,مفتاح موسى سعد حامد,0,0,سعد عبدالله ادريس الدينالي,0,0,سعد محمد منصور عبدالباري,0,0,بالقاسم محمد عبدالجليل ادريس,0,0,حسين محمود خليفة المنفور,0,0,جمال عبدالله عطية عمر,0,0,بالقاسم احمد مفتاح امراجع,0,0,اسامة عبدالله محمد ابوبكر,0,0,سعيد خالد عمر اسباقه,0,0,فرج رشيد صالح العبدلي,0,0,يوسف ابراهيم محمد حمد,0,0,محمد حسين عبدالحميد احسين,0,0,صالح محمود صالح العبدلى,0,0,محمد عبدالرازق ادريس مفتاح,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,65,0,0.0,عوض حسين محمود الفسي,0,0,عبدالقادر ادريس الجبالى محمد,0,0,عصام محمد ارجيعة مفتاح,0,0,سعد عبدالقادر عبدالقادر البدري,0,0,بوبكر مفتاح امنيسي المبروك,0,0,ابراهيم صالح محمد التاعب,0,0,خالد المهدي يونس يوسف,0,0,هارون محمد عبدالونيس محمد,0,0,عمر صالح محمد صالح,0,0,اسامة محمد عبدالحميد العمروني,0,0,محمد عوض هيبة عوض,0,0,علي فرج ابراهيم خالد,0,0,فرج سليمان عبدالرحيم التاجورى,0,0,رواد طاهر محمد الصابر,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
